"Activity Name","Service Provider Name","Service Provider Email Address","Contact Number","Contact Email",Category(s),"Age Group(s)","Reporting Region","Number of active referrals","Number of times details viewed",ICP,PCN,"Activity Post Code","Service Provider Post Code",Active,Link
"Knit and Natter - Sanderstead Library","Croydon Libraries",croydoncentrallibrary@croydon.gov.uk,"0203 700 1015",Bruno.ouvrard@croydon.gov.uk,"Hobbies & Interests","21-65, 50+",,0,209,,,"CR2 0HL","CR9 1ET",1,https://croydon.simplyconnect.uk/activities/84eb6fd0-442f-11ea-b4f6-75cab1f2864e/knit-and-natter-sanderstead-library
"Knit and Natter - Bradmore Green","Croydon Libraries",croydoncentrallibrary@croydon.gov.uk,"0203 700 1034 or 0203 700 1038",susan.andrew@croydon.gov.uk,"Hobbies & Interests","16-21, 21-65, 50+",,0,183,,,"CR5 1PE","CR9 1ET",1,https://croydon.simplyconnect.uk/activities/848b0f10-442f-11ea-8f23-afa0e1d93c65/knit-and-natter-bradmore-green
"KINGDOMS AND EMPIRES OF PRECOLONIAL AFRICA","Solace International",solaceinternational@yahoo.co.uk,"07404 018464",solaceinternational@yahoo.co.uk,"Other - Social Groups & Activities",,,0,85,,,"CR7 7EQ","CR7 7EQ",1,https://croydon.simplyconnect.uk/activities/dc23ec90-4edf-11ed-878b-f3e7bb3f0a75/kingdoms-and-empires-of-precolonial-africa
"Kidz Club","St Francis Monks Hill",revpeterw@googlemail.com,"020 8657 7864",stfrancisselsdon@gmail.com,"Faith Groups","0-5, Under 16",,0,143,,,"CR2 8AH","CR2 8AH",1,https://croydon.simplyconnect.uk/activities/83ceba60-442f-11ea-9538-f56ada38779f/kidz-club
"Kids Wild Adventure Club","Go Wild With Us UK",gowildcroydon@gmail.com,"07729 769663",gowildcroydon@gmail.com,"Holiday & Respite","Under 16",,0,131,,,"CR0 9AA","CR2 6JJ",1,https://croydon.simplyconnect.uk/activities/0d759120-c165-11ec-b18e-e19c7a08b53f/kids-wild-adventure-club
"Kids Wild Adventure Club","Go Wild With Us UK",gowildcroydon@gmail.com,"07729 769663",gowildcroydon@gmail.com,"Exercise & Outdoor Activities","Under 16",,0,56,,,"CR2 6JJ","CR2 6JJ",1,https://croydon.simplyconnect.uk/activities/853e9670-fc73-11ec-8f3c-65df44b324dc/kids-wild-adventure-club
"Kids Judo Classes","Croydon Judo Club",,"020 8656 5888",enquiries@croydonjudo.com,"Exercise & Outdoor Activities","16-21, Under 16",,0,760,,,"CR0 6EA","CR0 6EA",1,https://croydon.simplyconnect.uk/activities/8379e430-442f-11ea-b7dc-9309f5ecb8d8/kids-judo-classes
"Kid Wild Adventure Club!","Go Wild With Us UK",gowildcroydon@gmail.com,07729769663,gowildwithusuk@gmail.com,"Gardening & Environment","Under 16",,0,145,,,"CR0 9AA","CR2 6JJ",1,https://croydon.simplyconnect.uk/activities/f4e26b30-e2fd-11eb-b5bc-774485353a5c/kid-wild-adventure-club
"Kicks SNR Football","Palace for Life Foundation",admin@palaceforlife.org,07801593789,admin@palaceforlife.org,"Exercise & Outdoor Activities",,,0,,,,"SE25 6TG","SE25 6PU",1,https://croydon.simplyconnect.uk/activities/43781c40-21f5-11ec-8dd7-6b7fcff96384/kicks-snr-football
"Kicks Selhurst SNRs Football","Palace for Life Foundation",admin@palaceforlife.org,07801593789,admin@palaceforlife.org,"Exercise & Outdoor Activities",,,0,,,,"SE25 5PH","SE25 6PU",1,https://croydon.simplyconnect.uk/activities/60dc7ec0-21f4-11ec-9d95-8d8d6f39f23a/kicks-selhurst-snrs-football
"Kicks Selhurst JNRs Football","Palace for Life Foundation",admin@palaceforlife.org,07801593789,admin@palaceforlife.org,"Exercise & Outdoor Activities",,,0,,,,"SE25 5PH","SE25 6PU",1,https://croydon.simplyconnect.uk/activities/df935c20-21f5-11ec-987a-1dc0d66dd07c/kicks-selhurst-jnrs-football
"Kicks Girls Selhurst Football","Palace for Life Foundation",admin@palaceforlife.org,07801593789,admin@palaceforlife.org,,,,0,,,,"SE25 5PH","SE25 6PU",1,https://croydon.simplyconnect.uk/activities/57a21a30-25cc-11ec-b2ea-6f0321696848/kicks-girls-selhurst-football
"Kenley Community Advisory Group","Croydon South West Local Community Partnership",,"0208 668 6260",foodstop@ollbc.org.uk,"Legal Advice",,,0,169,,,"CR0 1EA","CR0 2TB",1,https://croydon.simplyconnect.uk/activities/6f9862b0-b4e6-11ec-a19a-2526fe9645e8/kenley-community-advisory-group
"Keeping Fit and Healthy Living","APASEN - Croydon Opportunity Zone",mohammed.amin@apasen.org.uk,"020 8689 6617",info.croydon@apasen.org.uk,"Exercise & Outdoor Activities","16-21, 21-65, 50+",,0,199,,,"CR7 7JY","CR7 7JY",1,https://croydon.simplyconnect.uk/activities/9c020ba0-1386-11eb-8a5a-5385cc868015/keeping-fit-and-healthy-living
"Keepfit4Christ Sports Club","Croydon Voluntary Action - Waterside Centre",bookings@cvalive.org.uk,,,"Sports Clubs",,,0,22,,,"SE25 4DX","SE25 4DX",1,https://croydon.simplyconnect.uk/activities/60851fa0-6b26-11ed-86dd-9d7de319ee56/keepfit4christ-sports-club
"Keep Fit for Older people","Emmanuel Church",office@emmanuelcroydon.org.uk,02086886676,office@emmanuelcroydon.org.uk,"Fitness Classes",50+,,0,24,,,"CR2 7AQ","CR2 7AF",1,https://croydon.simplyconnect.uk/activities/76f19210-5d11-11ed-8a4e-0fdd56c3c801/keep-fit-for-older-people
"Keep Fit","Croydon Vision",info@croydonvision.org.uk,"020 8688 2486",info@croydonvision.org.uk,"Exercise & Outdoor Activities","21-65, 50+",,0,396,,,"CR0 2AR","CR0 2AR",1,https://croydon.simplyconnect.uk/activities/82e95ef0-442f-11ea-88bf-8710d6a56745/keep-fit
"Junior Your Space Youth Group","Duffus Community Foundation (DCF)",info@duffusfoundation.org,07856482888,helen@duffusfoundation.org,"Youth Social Groups","Under 16",,0,107,,,"CR0 2TB","CR0 2TB",1,https://croydon.simplyconnect.uk/activities/003123a0-9e0e-11ec-966d-47f42042bba5/junior-your-space-youth-group
"Junior Timetable","Legacy, Croydon Youth Zone",enquiries@legacyyouthzone.org,"020 3976 9990",enquiries@legacyyouthzone.org,"Youth Social Groups","16-21, Under 16",,0,228,,,"CR0 2LG","CR0 2LG",1,https://croydon.simplyconnect.uk/activities/b3fd2140-84e6-11ec-9fb6-7175aeb988a6/junior-timetable
"Junior Timetable","My Ends Partnership",Shalina.Alabaksh@cvalive.org.uk,,enquries@legacyyouthzone.org,"Youth Social Groups","Under 16",,0,187,,,"CR0 2LG","CR0 2TB",1,https://croydon.simplyconnect.uk/activities/e47877c0-8a67-11ec-8453-d1df4defae2a/junior-timetable
"Junior Church","Christ Church Methodist Addiscombe",enquiries@christchurchmeth.org.uk,,enquiries@christchurchmeth.org.uk,"Faith Groups","Under 16",,0,349,,,"CR0 6AD","CR0 6AD",1,https://croydon.simplyconnect.uk/activities/afe21ab0-58a3-11ea-b71d-23059d8afeb7/junior-church
"Judo Classes- Seniors","New Addington Judo Club",addingtonjudoclub@yahoo.co.uk,,addingtonjudoclub@yahoo.co.uk,"Exercise & Outdoor Activities","16-21, 21-65",,0,200,,,"CR0 0JB","CR0 0DF",1,https://croydon.simplyconnect.uk/activities/ce8e9b30-5325-11ea-a6ae-71a02b8ee3f6/judo-classes-seniors
"Judo Classes- Juniors","New Addington Judo Club",addingtonjudoclub@yahoo.co.uk,,addingtonjudoclub@yahoo.co.uk,"Exercise & Outdoor Activities","Under 16",,0,250,,,"CR0 0DF","CR0 0DF",1,https://croydon.simplyconnect.uk/activities/08ae2fd0-5325-11ea-92c6-8d2d961cca8c/judo-classes-juniors
"Jolly Joggers","Mind in Croydon (Active Minds)",activeminds@mindincroydon.org.uk,"0208 2538205",activeminds@mindincroydon.org.uk,"Exercise & Outdoor Activities",,,0,49,,,"CR2 6EZ","CR2 6EZ",1,https://croydon.simplyconnect.uk/activities/cd387e80-4568-11ed-8bb1-efe5ce097f6f/jolly-joggers
"Join Our Lego Club - Coulsdon Library","Croydon Libraries",croydoncentrallibrary@croydon.gov.uk,"0203 700 1007",Fiona.philips@croydon.gov.uk,"Education ","Under 16",,1,190,,,"CR5 2NH","CR9 1ET",1,https://croydon.simplyconnect.uk/activities/80ca6b60-442f-11ea-a57f-e50363a1f21e/join-our-lego-club-coulsdon-library
"Join Our Crest Club - Croydon Central Children's Library","Croydon Libraries",croydoncentrallibrary@croydon.gov.uk,"0203 700 1034 or 0203 700 1038",croydoncentrallibrary@croydon.gov.uk,"Education ","Under 16",,0,202,,,"CR9 1ET","CR9 1ET",1,https://croydon.simplyconnect.uk/activities/807fbc30-442f-11ea-a9d5-cb47d6f9fe64/join-our-crest-club-croydon-central-childrens-library
"Join Our Crest Club - Ashburton Library","Croydon Libraries",croydoncentrallibrary@croydon.gov.uk,"0203 700 1001",ashburtonlibrary@croydon.gov.uk,"Education ","Under 16",,0,3994,,,"CR9 7AL","CR9 1ET",1,https://croydon.simplyconnect.uk/activities/803ac560-442f-11ea-bbe4-17da0e92d685/join-our-crest-club-ashburton-library
"Join Our Code Club - Central Children's Library","Croydon Libraries",croydoncentrallibrary@croydon.gov.uk,"0203 700 1034 or 0203 700 1038",croydoncentrallibrary@croydon.gov.uk,"Education ","Under 16",,0,170,,,"CR9 1ET","CR9 1ET",1,https://croydon.simplyconnect.uk/activities/7ff62bc0-442f-11ea-805b-6d11d05892e8/join-our-code-club-central-childrens-library
"Join Our Code Club - Ashburton Library","Croydon Libraries",croydoncentrallibrary@croydon.gov.uk,"0203 700 1001",ashburtonlibrary@croydon.gov.uk,"Education ","Under 16",,0,170,,,"CR9 7AL","CR9 1ET",1,https://croydon.simplyconnect.uk/activities/7fb08770-442f-11ea-a18c-19f3f76e1034/join-our-code-club-ashburton-library
"Job Support for Young People","Prince's Trust",,,,"Other - Advice, Support & Self Help",,,0,410,,,"SE1 8EG","SE1 8EG",1,https://croydon.simplyconnect.uk/activities/fcf39320-7034-11ea-b5bf-ddc83d8674ed/job-support-for-young-people
"Job Club","Purley Baptist Church",office@purleybaptist.org,"020 8668 0422",office@purleybaptist.org,"Employment, Skills & Enterprise ","16-21, 21-65, 50+",,0,95,,,"CR8 3AA","CR8 3EA",1,https://croydon.simplyconnect.uk/activities/3cdb2420-b669-11ec-9969-297e8331b26e/job-club
"Jewellery Making","Croydon BME Forum",info@bmeforum.org,07541365250,info@bmeforum.org,"Arts & Crafts",50+,,0,21,,,"CR0 1TY","CR0 3RG",1,https://croydon.simplyconnect.uk/activities/a8d13f60-3ff5-11ec-96b9-cda9315f4428/jewellery-making
"JAGS Foundation","JAGS Foundation",admin@jagsfoundation.org,"0208 663 5636",admin@jagsfoundation.org,Advocacy,"16-21, Under 16",,0,110,,,"CR0 1PB","CR0 1PB",1,https://croydon.simplyconnect.uk/activities/80dabeb0-558d-11eb-97c1-290fd1a763ad/jags-foundation
"It's our turn","Thai Boxing Community Centre",thaiboxingcommunity@gmail.com,"+44 7552 162638",thaiboxingcommunity@gmail.com,"Sports Clubs",,,0,100,,,"CR0 2DA","CR0 2DA",1,https://croydon.simplyconnect.uk/activities/82d44ec0-23a2-11ed-b5fb-71f35e6154be/its-our-turn
"IT taster sessions - Thornton Heath Library","Croydon Libraries",croydoncentrallibrary@croydon.gov.uk,"0203 700 1023",anne.pereira@croydon.gov.uk,"Education ","16-21, 21-65, 50+",,0,172,,,"CR7 7JB","CR9 1ET",1,https://croydon.simplyconnect.uk/activities/7eff9880-442f-11ea-b50d-fbd6f4185a23/it-taster-sessions-thornton-heath-library
"IT taster sessions - South Norwood LIbrary","Croydon Libraries",croydoncentrallibrary@croydon.gov.uk,"0203 700 1021",jane.copper@croydon.gov.uk,"Education ","16-21, 21-65, 50+",,0,136,,,"SE25 5AA","CR9 1ET",1,https://croydon.simplyconnect.uk/activities/7ea4dcc0-442f-11ea-b94a-d7c52002bb8b/it-taster-sessions-south-norwood-library
"IT Taster Sessions - New Addington Centre","Croydon Libraries",croydoncentrallibrary@croydon.gov.uk,"0203 700 1009",chris.shields@croydon.gov.uk,"Education ","16-21, 21-65, 50+",,0,149,,,"CR0 0JD","CR9 1ET",1,https://croydon.simplyconnect.uk/activities/7e4505c0-442f-11ea-8c2d-5b631b832b42/it-taster-sessions-new-addington-centre
"IT Taster Sessions - Bradmore Green Library","Croydon Libraries",croydoncentrallibrary@croydon.gov.uk,"0203 700 1003",Anthony.saridakis@croydon.gov.uk,"Education ","16-21, 21-65, 50+",,0,169,,,"CR5 1PE","CR9 1ET",1,https://croydon.simplyconnect.uk/activities/7dedf680-442f-11ea-a159-0b08943648fd/it-taster-sessions-bradmore-green-library
"IT Support Sessions - Norbury Library","Croydon Libraries",croydoncentrallibrary@croydon.gov.uk,"0203 700 1011",liz.hollowood@croydon.gov.uk,"Education ","16-21, 21-65, 50+",,0,186,,,"SW16 4UW","CR9 1ET",1,https://croydon.simplyconnect.uk/activities/7d933c20-442f-11ea-b925-9d1840c4b9f6/it-support-sessions-norbury-library
"IT Sessions - Coulsdon Library","Croydon Libraries",croydoncentrallibrary@croydon.gov.uk,"0203 700 1007",Fiona.philips@croydon.gov.uk,"Education ","16-21, 21-65, 50+",,0,145,,,"CR5 2NH","CR9 1ET",1,https://croydon.simplyconnect.uk/activities/7cfe1800-442f-11ea-a977-cfb9f6e68cff/it-sessions-coulsdon-library
"Introduction to the Adult Social Care Sector","Advice Support Knowledge Information Ltd",info@aski.org.uk,"07759 194 567",info@aski.org.uk,"Employment, Skills & Enterprise ","16-21, 21-65, 50+",,0,20,,,"CR7 7JJ","CR7 7JJ",1,https://croydon.simplyconnect.uk/activities/45ba0010-d05f-11ec-9ab8-79b3235864bb/introduction-to-the-adult-social-care-sector
"Introduction to Railway Programme","London Skills and Development Network",info@lsdn.org.uk,"020 3784 1294 / 07767122541",info@lsdn.org.uk,"Education ",,,0,312,,,"CR0 0YN","CR0 0YN",1,https://croydon.simplyconnect.uk/activities/7cc1c930-442f-11ea-9c73-3fcafb05e580/introduction-to-railway-programme
"Introduction to Outdoor Learning - Level 1 Accredited Course","Go Wild With Us UK",gowildcroydon@gmail.com,07729769663,gowildwithusuk@gmail.com,"Education ",21-65,,0,27,,,"CR0 9AA","CR2 6JJ",1,https://croydon.simplyconnect.uk/activities/a2b9a7c0-ccf7-11eb-9b43-8f6ffcc3a2f6/introduction-to-outdoor-learning-level-1-accredited-course
"Interview with confidence",CALAT,,,andrew.gee@croydon.gov.uk,"Employment, Skills & Enterprise ",,,0,31,,,"CR9 1ET","CR9 1ET",1,https://croydon.simplyconnect.uk/activities/a30fd3b0-5f05-11eb-bb13-932f514fa496/interview-with-confidence
"Interview preparation service, supporting unemployed women into work with clothing and coaching","Smart Works",london@smartworks.org.uk,02072881770,london@smartworks.org.uk,"Employment, Skills & Enterprise ","16-21, 21-65, 50+",,0,9,,,"CR0 1TY","CR0 1TY",1,https://croydon.simplyconnect.uk/activities/afa90320-6fdd-11ed-9581-2df58321862f/interview-preparation-service-supporting-unemployed-women-into-work-with-clothing-and-coaching
"Intergenerational Summer School  Day with Croydon BME Forum","MHA Communities South London",katharine.stubbs@mha.org.uk,07597135220,southlondon@mha.org.uk,"Family Activities ","0-5, 16-21, 21-65, 50+, Under 16",,0,90,,,"CR9 5AL","CR9 5AL",1,https://croydon.simplyconnect.uk/activities/584d2580-1270-11ed-9939-1bad10faa234/intergenerational-summer-school-day-with-croydon-bme-forum
"Interested in a Career in Construction and Engineering?","Croydon College",info@croydon.ac.uk,"020 8686 5700",info@croydon.ac.uk,"Employment, Skills & Enterprise ",,,0,4,,,,"CR9 1DX",1,https://croydon.simplyconnect.uk/activities/ac83e050-870b-11eb-8d5c-f735f6199314/interested-in-a-career-in-construction-and-engineering
"Integrative Counselling Session","Care to Listen",enquiries@caretolisten.co.uk,02086162160,enquiries@caretolisten.co.uk,Counselling,"16-21, 21-65, 50+",,0,158,,,"CR0 6AN","CR0 6AN",1,https://croydon.simplyconnect.uk/activities/b48ef760-bf53-11ea-8077-0fbf1e80fb0a/integrative-counselling-session
"Information Support","Home-Start Croydon",contact@croydon-homestart.co.uk,02086670207,contact@croydon-homestart.co.uk,Parenting,"16-21, 21-65",,0,498,,,"CR0 1RF","CR0 1RF",1,https://croydon.simplyconnect.uk/activities/7b68c690-442f-11ea-87e1-3725286096af/information-support
"Information and Advice Service",deafPLUS,info@deafplus.org,07708514247,sue.brown@deafplus.org,"General Advice & Info","16-21, 21-65, 50+",,0,387,,,"CR0 1EA","E1 4HG",1,https://croydon.simplyconnect.uk/activities/7b1476a0-442f-11ea-85f4-a171939dba87/information-and-advice-service
"Information and Advice for Carers","Carers Support Centre",info@carersinfo.org.uk,"020 8649 9339",amydeakin@carersinfo.org.uk,"Carers ","16-21, 21-65, 50+",,0,179,,,"CR0 1PB","CR0 1PB",1,https://croydon.simplyconnect.uk/activities/7abdd4a0-442f-11ea-94bb-3b6a6e74ec62/information-and-advice-for-carers
"Informal Sessions for Youth Workers",Metro,hiv@metrocharity.org.uk,"020 8305 5006",hiv@metrocharity.org.uk,"General Advice & Info",,,0,17,,,,"SE11 5JH",1,https://croydon.simplyconnect.uk/activities/7d2e1b70-9782-11eb-b2ed-a9a7b930732e/informal-sessions-for-youth-workers
"Indoor cycling",Silverfit,info@silverfit.org.uk,"07450 611 155",alan@silverfit.org.uk,"Exercise & Outdoor Activities",50+,,0,334,,,"CR0 6RX","SW1E 6SQ",1,https://croydon.simplyconnect.uk/activities/7a78ceb0-442f-11ea-9feb-8794c04319c8/indoor-cycling
"Independent School","Write Time, The",chrismurray@thewritetime.org.uk,02086897676,Chrismurray@the-write-time.org,"Education ","16-21, Under 16",,0,100,,,"CR0 2XX","CR0 2XX",1,https://croydon.simplyconnect.uk/activities/7a2c87c0-442f-11ea-b303-afd770ff4079/independent-school
"Inclusion Timetable","Legacy, Croydon Youth Zone",enquiries@legacyyouthzone.org,"020 3976 9990",enquiries@legacyyouthzone.org,"Youth Social Groups","16-21, Under 16",,0,171,,,"CR0 2LG","CR0 2LG",1,https://croydon.simplyconnect.uk/activities/9d263030-8a5f-11ec-a016-b5d2b9f4ee54/inclusion-timetable
"Inclusion Timetable","My Ends Partnership",Shalina.Alabaksh@cvalive.org.uk,02039769990,enquries@legacyyouthzone.org,"Youth Social Groups","16-21, Under 16",,0,224,,,"CR0 2LG","CR0 2TB",1,https://croydon.simplyconnect.uk/activities/76a34a60-8a69-11ec-9f39-1112af6c7343/inclusion-timetable
Inaspectrum,"Carers Support Centre",info@carersinfo.org.uk,"07900 990 292",inaspectrum@hotmail.com,"Carers ",,,0,242,,,"CR0 1PB","CR0 1PB",1,https://croydon.simplyconnect.uk/activities/79ea2860-442f-11ea-9059-7fe20879978b/inaspectrum
"Impact Parenting Training","Floating Counselling",info@floatingcounselling.co.uk,,info@floatingcounselling.co.uk,Parenting,21-65,,0,89,,,"CR0 3RG","SE25 4DX",1,https://croydon.simplyconnect.uk/activities/1e7805c0-e61f-11ea-8317-7364b03ca07e/impact-parenting-training
"Immigration and Asylum","South West London Law Centres",enquiries@swllc.org,02087672777,nicoletta.crivellaro@swllc.org,"Legal Advice","16-21, 21-65, 50+",,0,374,,,"CR0 1QQ","CR0 1QQ",1,https://croydon.simplyconnect.uk/activities/79971520-442f-11ea-9df5-25178493526e/immigration-and-asylum
"Hungry Minds Campaign for 0-5 year old","The Institute of Wellbeing",Elle@tiow.org,07889496337,Elle@tiow.org,"Education ",0-5,,0,199,,,CR01NG,CR01NG,1,https://croydon.simplyconnect.uk/activities/46e7f760-535d-11ec-a580-fd35d7acd6ab/hungry-minds-campaign-for-0-5-year-old
"How you could run a regular event in your community around sustainability","Sustainable Thornton Heath",sustainablethorntonheat@gmail.com,,sustainablethorntonheat@gmail.com,"General Advice & Info","21-65, 50+",,0,71,,,"CR7 8QQ","CR7 8QQ",1,https://croydon.simplyconnect.uk/activities/5e1d45e0-2467-11ed-bd19-859327fe296a/how-you-could-run-a-regular-event-in-your-community-around-sustainability
"Housing Court Duty Scheme","South West London Law Centres",enquiries@swllc.org,0208762777,nicoletta.crivellaro@swllc.org,"Housing ","16-21, 21-65, 50+",,0,490,,,"CR0 1QQ","CR0 1QQ",1,https://croydon.simplyconnect.uk/activities/75830910-7eac-11ea-b21a-25d908358723/housing-court-duty-scheme
"Housing Advice for Young People",CAYSH,info@caysh.org,"0208 760 5530",diz@caysh.org,"Housing ","16-21, 21-65",,0,169,,,"CR0 1BF","CR0 1QG",1,https://croydon.simplyconnect.uk/activities/ca5936b0-0306-11eb-ba65-452b13066bc8/housing-advice-for-young-people
"Housing (H)","South West London Law Centres",enquiries@swllc.org,"020 8767 2777",nicoletta.crivellaro@swllc.org,"Housing ",,,0,151,,,"CR0 1QQ","CR0 1QQ",1,https://croydon.simplyconnect.uk/activities/b1e66450-7d29-11ec-9a2b-4d81474ba9f2/housing-h
"Hour of Power","Elim Pentecostal Church, Croydon",info@elimpentecostal.org.uk,"208 665 5370",office@elimpentecostal.org.uk,"Faith Groups","16-21, 21-65, 50+, Under 16",,0,295,,,"CR0 3QA","CR0 3QA",1,https://croydon.simplyconnect.uk/activities/789dc1e0-442f-11ea-9693-bdabd5885e99/hour-of-power
"Hot Meals at South Norwood Community Kitchen","South Norwood Community Kitchen",,"07734 487756",hello@southnorwoodcommunitykitchen.co.uk,"Food Banks",,,0,246,,,"SE25 4PQ","SE25 4PQ",1,https://croydon.simplyconnect.uk/activities/bebdf920-442f-11ea-a45a-2df21e4a0147/hot-meals-at-south-norwood-community-kitchen
