Activity Name,Service Provider Name,Service Provider Email Address,Contact Number,Contact Email,Category(s),Age Group(s),Reporting Region,Number of active referrals,Number of times details viewed,ICP,PCN,Activity Post Code,Service Provider Post Code,Active,Start Date,End Date,Link
Hot Meal Delivery for UNACC Members,Upper Norwood Association For Community Care (UNACC),info@unacc.org.uk,020 8771 6886,info@unacc.org.uk,Other - Healthy Living,,,0,603,,,SE25 4DX,SE25 4DX,1,3/19/2020 0:00,,https://croydon.simplyconnect.uk/activities/677e2650-69ea-11ea-8824-cba3412c1c09/hot-meal-delivery-for-unacc-members
Homework Club New Addington Centre,Croydon Libraries,croydoncentrallibrary@croydon.gov.uk,0203 700 1009,chris.shields@croydon.gov.uk,Education ,"16-21, Under 16",,0,217,,,CR0 0JD,CR9 1ET,1,,,https://croydon.simplyconnect.uk/activities/78084cf0-442f-11ea-9042-25aa8e47d0ba/homework-club-new-addington-centre
Homelessness: Wednesday-Hot meal & food parcel for the homeless - West Croydon (HN),Croydon Methodist Circuit,revstephenday@croydonmeth.org,,dropinwcmc@gmail.com,Homelessness,,,0,912,,,CR0 2RF,CR0 2RF,1,5/21/2020 0:00,,https://croydon.simplyconnect.uk/activities/71adb0a0-c4f7-11ea-af2d-5906cfbfb013/homelessness-wednesday-hot-meal-food-parcel-for-the-homeless-west-croydon-hn
"Homelessness: Wednesday Hot Drink, Sandwiches & Pastries - West Croydon (HN)",New Testament  Church of God Inc,info@ntcgwc.or.uk,0208 689 6266,info@ntcgwc.or.uk,Homelessness,,,0,60,,,CR0 3LF,CR0 3LF,1,12/06/2022 00:00,,https://croydon.simplyconnect.uk/activities/4bf90510-754b-11ed-856d-ff88b5f0519f/homelessness-wednesday-hot-drink-sandwiches-pastries-west-croydon-hn
Homelessness: Wednesday Food & Clothing - South Norwood (HN),Torchlight Ministries,info@torchministries.com,0203 837 8777,info@torchministries.com,Homelessness,,,0,34,,,SE25 6XX,CR0 1RE,1,02/12/2023 00:00,,https://croydon.simplyconnect.uk/activities/87499000-ac4a-11ed-bcbc-2b8dea8e725b/homelessness-wednesday-food-clothing-south-norwood-hn
Homelessness: Wednesday - Food Parcels  for Rough Sleepers - East Croydon (HN),St Andrews Church (South Croydon),enquiries.standrewschurch@outlook.com,078 6178 9383,cakran@gmail.com,Homelessness,,,0,173,,,CR0 1AG,CR0 1AG,1,12/21/2021 0:00,,https://croydon.simplyconnect.uk/activities/299f40b0-626e-11ec-a6e0-b9ea07f82d97/homelessness-wednesday-food-parcels-for-rough-sleepers-east-croydon-hn
Homelessness: Tuesday to Saturday Hot Takeaway Meal - South Norwood (HN),South Norwood Community Kitchen,,07734 487371,hello@southnorwoodcommunitykitchen.co.uk,Homelessness,,,0,207,,,SE25 4PQ,SE25 4PQ,1,12/22/2021 0:00,,https://croydon.simplyconnect.uk/activities/9445fe70-6319-11ec-885b-17eb3e5a5c58/homelessness-tuesday-to-saturday-hot-takeaway-meal-south-norwood-hn
Homelessness: Tuesday Hot Meal &  take away food - Selhurst (HN),Croydon Seventh Day Adventist Church,,07930 167 812,health@croydonadventist.org,Homelessness,,,0,184,,,SE25 6HL,SE25 6HL,1,12/21/2021 0:00,,https://croydon.simplyconnect.uk/activities/3160cfc0-626c-11ec-925f-774e204d8145/homelessness-tuesday-hot-meal-take-away-food-selhurst-hn
Homelessness: Tuesday Coffee Morning/Lunch Club - West Croydon  (HN),Church of God (Seventh Day) Croydon,croydon@cog7thday.org.uk,0208 688 6094,croydon@cog7thday.org.uk,Homelessness,,,0,435,,,CR0 3SE,CR0 3SE,1,12/15/2021 0:00,,https://croydon.simplyconnect.uk/activities/8a96e6d0-7f56-11ec-88f8-030adee1de11/homelessness-tuesday-coffee-morninglunch-club-west-croydon-hn
Homelessness: Thursday Hot Meal for the homeless - Norbury Park (HN),Al Noor Institute,alnoor.fooddrive@gmail.com,07432 666008,alnoor.fooddrive@gmail.com,Homelessness,,,0,211,,,SW16 4AE,SW16 4AE,1,12/21/2021 0:00,,https://croydon.simplyconnect.uk/activities/3c414600-6273-11ec-ac84-39cc494b192a/homelessness-thursday-hot-meal-for-the-homeless-norbury-park-hn
Homelessness: Supporting people with substance misuse issues and homelessness (HN),"Change, Grow, Live",adina.bennett@cgl.org.uk,0300 123 9288,,Homelessness,,,0,210,,,CR0 1SE,BN1 1YR,1,02/08/2022 00:00,,https://croydon.simplyconnect.uk/activities/bb06e5a0-88c4-11ec-ba18-5924877dcb8f/homelessness-supporting-people-with-substance-misuse-issues-and-homelessness-hn
Homelessness: Support for 16-24 year olds across London facing homelessness (HN),New Horizon Youth Centre,info@nhyouthcentre.org.uk,0207 388 5560,info@nhyouthcentre.org.uk,Homelessness,"16-21, 21-65",,0,69,,,NW1 1JR,NW1 1JR,1,12/21/2021 0:00,,https://croydon.simplyconnect.uk/activities/e904cf40-625a-11ec-b459-0381d932d38d/homelessness-support-for-16-24-year-olds-across-london-facing-homelessness-hn
Homelessness: Sunday Hot Meal & shower for homeless - Addiscombe (HN),St Mildred's Parish Office,parishoffice@stmildredschurch.org.uk,020 8655 1434,parishoffice@stmildredschurch.org.uk,Homelessness,,,0,308,,,CR0 7EB,CR0 7EB,1,12/21/2021 0:00,,https://croydon.simplyconnect.uk/activities/cd03d630-6256-11ec-8f8c-1bd12238bfe9/homelessness-sunday-hot-meal-shower-for-homeless-addiscombe-hn
Homelessness: Sunday Hot Meal & Food Parcel for the homeless - West Croydon (HN),West Croydon Seventh Day Adventist Church,info@westcroydonsda.uk,07939 297 176  or 0208 0377784,info@westcroydonsda.uk,Homelessness,,,0,960,,,CR0 2XU,CR0 2XU,1,12/22/2021 0:00,,https://croydon.simplyconnect.uk/activities/b9d65070-631d-11ec-86e7-f117f3db444c/homelessness-sunday-hot-meal-food-parcel-for-the-homeless-west-croydon-hn
Homelessness: Sunday Full English Breakfast - West Croydon (HN),RCCG The New Creation Assembly For All Nations (NECAN),rccgnewcreation@btinternet.com,0208 688 8466,admin@croydontabernacle.org.uk,Homelessness,,,0,51,,,CR0 3SL,SE25 5UN,1,12/13/2022 0:00,,https://croydon.simplyconnect.uk/activities/64c03150-7ae7-11ed-b14e-b704b7110141/homelessness-sunday-full-english-breakfast-west-croydon-hn
Homelessness: Sunday Food Items for the homeless - Thornton Heath (HN),DGC Joseph Storehouse Foodbank,joseph280storehouse@gmail.com,7869816329,joseph280storehouse@gmail.com,Homelessness,,,0,41,,,CR7 7JE,CR7 7JE,1,12/06/2022 00:00,,https://croydon.simplyconnect.uk/activities/9b0454c0-757b-11ed-988e-2ff87e44dc4b/homelessness-sunday-food-items-for-the-homeless-thornton-heath-hn
Homelessness: Sunday Breakfast for the homeless - West Croydon (HN),Croydon Tabernacle,admin@croydontabernacle.org.uk,020 8688 8466,admin@croydontabernacle.org.uk,Homelessness,,,0,74,,,CR0 3SL,CR0 3SL,1,12/06/2022 00:00,,https://croydon.simplyconnect.uk/activities/88d59300-7570-11ed-897d-1b34a3823e97/homelessness-sunday-breakfast-for-the-homeless-west-croydon-hn
Homelessness: Saturday Soup Kitchen - Thornton Heath (HN),Alhidaya Croydon,alhidayacroydon@gmail.com,0757 211 6952,alhidayacroydon@gmail.com,Homelessness,,,0,222,,,CR7 7JP,CR7 7JP,1,12/22/2021 0:00,,https://croydon.simplyconnect.uk/activities/51a0fc00-6317-11ec-b313-9d8b519b3607/homelessness-saturday-soup-kitchen-thornton-heath-hn
Homelessness: Saturday Hot Take Away Meal - West Croydon (HN),New Testament  Church of God Inc,info@ntcgwc.or.uk,0208 689 6266,info@ntcgwc.or.uk,Homelessness,,,0,55,,,CR0 3LF,CR0 3LF,1,12/06/2022 00:00,,https://croydon.simplyconnect.uk/activities/aaf3b650-754c-11ed-b39a-a729fb80c9d1/homelessness-saturday-hot-take-away-meal-west-croydon-hn
Homelessness: Saturday Free meal for the homeless - Thornton Heath   (HN),FoodCycle,london@foodcycle.org.uk,0207 7292 775,megan@foodcycle.org.uk,Homelessness,"16-21, 21-65, 50+",,0,223,,,SE25 6RD,SW85EL,1,09/03/2022 00:00,,https://croydon.simplyconnect.uk/activities/cc5c1dd0-1969-11ed-9089-0da0507cb63b/homelessness-saturday-free-meal-for-the-homeless-thornton-heath-hn
Homelessness: Monday Soup Kitchen - Thornton Heath Mosque (HN),SWAN Foodbank South London,Info@swanlondon.org,+44 (0) 203 490 0690,Info@swanlondon.org,Homelessness,,,0,372,,,CR7 8SN,CR0 2TB,1,11/29/2021 0:00,,https://croydon.simplyconnect.uk/activities/594b7f10-512c-11ec-8c86-e53f025ff770/homelessness-monday-soup-kitchen-thornton-heath-mosque-hn
Homelessness: Monday Mobile Soup Kitchen -  Central Croydon  (HN),Percys Homeless Hub,Percivaljack94@gmail.com,7710975624,Percivaljack94@gmail.com,Homelessness,,,0,31,,,CR0 1YB,CR5 3LN,1,1/16/2023 0:00,,https://croydon.simplyconnect.uk/activities/b0ffed00-9594-11ed-ad4d-8925514ad749/homelessness-monday-mobile-soup-kitchen-central-croydon-hn
Homelessness: Monday Hot Food & Support for the Homeless - Central Croydon (HN),Salvation Army (Croydon),croydoncitadel@salvationarmy.org.uk,07551 571 661,croydoncitadel@salvationarmy.org.uk,Homelessness,,,0,257,,,CR0 1XY,CR0 1XY,1,11/29/2021 0:00,,https://croydon.simplyconnect.uk/activities/6a3c0350-51c7-11ec-8438-ff3d507915ce/homelessness-monday-hot-food-support-for-the-homeless-central-croydon-hn
Homelessness: Housing Support for the Homeless  (HN),South West London Law Centres,enquiries@swllc.org,2087672777,nicoletta.crivellaro@swllc.org,Homelessness,"21-65, 50+",,0,832,,,CR0 1QQ,CR0 1QQ,1,1/25/2022 0:00,,https://croydon.simplyconnect.uk/activities/78fc80a0-442f-11ea-b003-e7455068c97f/homelessness-housing-support-for-the-homeless-hn
Homelessness: Housing Advice for Young People aged 16 - 21 (HN),CAYSH,info@caysh.org,0208 760 5530,diz@caysh.org,Homelessness,,,0,94,,,CR0 1QG,CR0 1QG,1,1/22/2023 0:00,,https://croydon.simplyconnect.uk/activities/966ca300-a21f-11ed-addf-c3d21d719fe2/homelessness-housing-advice-for-young-people-aged-16-21-hn
Homelessness: Hot Food for the Homeless - South Norwood (HN),ISKCON South London Food For All,rbadhrri@gmail.com,,rbadhrri@gmail.com,Homelessness,,,0,228,,,SE25 5NG,SE25 5NG,1,07/09/2020 00:00,,https://croydon.simplyconnect.uk/activities/64094480-c1f7-11ea-bc7e-b36884667464/homelessness-hot-food-for-the-homeless-south-norwood-hn
Homelessness: Homeless Assessment  Hub (HN),Evolve Housing + Support,enquiries@evolvehousing.org.uk,,Rob.frier@evolvehousing.org.uk,Homelessness,,,0,448,,,SW19 1JZ,SW19 1JZ,1,12/04/2020 00:00,,https://croydon.simplyconnect.uk/activities/23271480-4125-11eb-a653-498978b2b62b/homelessness-homeless-assessment-hub-hn
"Homelessness: Help for individuals facing, or experiencing homelessness (HN)",Optimism Supported Housing,info@optimismsupportedhousing.co.uk,7762800636,info@optimismsupportedhousing.co.uk,Homelessness,,,0,247,,,CR0 2UF,CR0 3AA,1,1/25/2022 0:00,,https://croydon.simplyconnect.uk/activities/431b5500-7dd2-11ec-b081-99454778d910/homelessness-help-for-individuals-facing-or-experiencing-homelessness-hn
Homelessness: Friday Hot Meal for the homeless - Thornton Heath (HN),Croydon Mosque and Islamic Centre,enquiries@croydonmosque.com,,,Homelessness,,,0,51,,,CR7 6AR,CR7 6AR,1,12/13/2022 0:00,,https://croydon.simplyconnect.uk/activities/624051c0-7ae6-11ed-91ec-4382fbe3933d/homelessness-friday-hot-meal-for-the-homeless-thornton-heath-hn
Homelessness: Friday Food for the homeless  - West Croydon  (HN),His Grace Evangelical Outreach,info@hisgrace-evangelicaloutreach.co.uk,07946 546507,info@hisgrace-evangelicaloutreach.co.uk,Homelessness,,,0,324,,,CR7 8JG,CR7 8JF,1,12/21/2021 0:00,,https://croydon.simplyconnect.uk/activities/9a55ae30-6260-11ec-927f-15dd6759191e/homelessness-friday-food-for-the-homeless-west-croydon-hn
Homelessness: Friday - Hot meal for the homeless - Thornton Heath  (HN),Croydon Muslim Association,,07951 069211,laupingrac@yahoo.com,Homelessness,,,0,546,,,CR7 6AR,CR7 7YE,1,12/21/2021 0:00,,https://croydon.simplyconnect.uk/activities/8236c480-6277-11ec-9874-f19c4dae5d48/homelessness-friday-hot-meal-for-the-homeless-thornton-heath-hn
Homelessness: Food  and Support for Rough Sleepers in Croydon,Rapture Community Project,revemerald@hotmail.co.uk,,revemerald@hotmail.co.uk,Homelessness,,,0,231,,,SE25 5AU,SE25 5AU,1,4/30/2020 0:00,,https://croydon.simplyconnect.uk/activities/4fa0fb00-c4f6-11ea-9bc9-514d51ffdf71/homelessness-food-and-support-for-rough-sleepers-in-croydon
Homelessness: Emergency Support & Assessment of entitlement of housing (HN),"Croydon Council - Adult Services, Health & Housing",liz.collins@croydon.gov.uk,020 8726 6000,housing@croydon.gov.uk,Homelessness,,,0,70,,,CR0 1EA,CR0 1EA,1,1/15/2023 0:00,,https://croydon.simplyconnect.uk/activities/bda04880-a217-11ed-8866-2d00383a1161/homelessness-emergency-support-assessment-of-entitlement-of-housing-hn
Homelessness: Crisis UK Support we can help you (HN),Crisis UK,enquiries@crisis.org.uk,0300 636 1967,enquiries@crisis.org.uk,Homelessness,"16-21, 21-65, 50+",,0,275,,,E1 6LT,E1 6LT,1,10/01/2020 00:00,,https://croydon.simplyconnect.uk/activities/e1f64620-0309-11eb-a74e-ed45c49b507e/homelessness-crisis-uk-support-we-can-help-you-hn
Homelessness: Crisis Support for homeless single people (HN),Crisis Skylight Croydon,croydon@crisis.org.uk,0203 848 1700,croydon@crisis.org.uk,Homelessness,"16-21, 21-65, 50+",,0,857,,,CR0 1RG,CR0 1RG,1,10/01/2020 00:00,,https://croydon.simplyconnect.uk/activities/cd0232c0-0308-11eb-a95e-654e8fdd51f9/homelessness-crisis-support-for-homeless-single-people-hn
"Homelessness: Advocacy, advice and support for homeless and vulnerably housed people (HN)",Jobcentre Plus (Croydon),,07826 874885,sinead.harris@dwp.gov.uk,Homelessness,,,0,246,,,CR0 1EA,CR0 1EA,1,1/26/2022 0:00,,https://croydon.simplyconnect.uk/activities/bbdae250-7ea5-11ec-9fa0-0539c7dc1210/homelessness-advocacy-advice-and-support-for-homeless-and-vulnerably-housed-people-hn
Homelessness: Accommodation in South & West Norwood for those who have been homeless (HN),Emmaus SLC,helen.fraher@emmausslc.co.uk,0300 123 2001,contact@emmaus.org.uk,Homelessness,,,0,342,,,SE27 0HS,SE27 0HS,1,01/04/2022 00:00,,https://croydon.simplyconnect.uk/activities/b47821e0-6d78-11ec-855d-15bc7ed1dae8/homelessness-accommodation-in-south-west-norwood-for-those-who-have-been-homeless-hn
Homelessness:  Wednesday Food parcel - Fairfield (HN),St Andrew's Church Contact Group,contactgroup@standrews.coulsdon.net,078 6178 9383,cakran@gmail.com,Homelessness,,,0,43,,,CR0 1AG,CR5 2DD,1,12/13/2022 0:00,,https://croydon.simplyconnect.uk/activities/6f048960-7ae3-11ed-908e-49152419808d/homelessness-wednesday-food-parcel-fairfield-hn
Homelessness:  Every Night Hot Food  & other support for  homeless - Central Croydon (HN),Nightwatch,croydonnightwatch@btinternet.com,,croydonnightwatch@btinternet.com,Homelessness,,,0,235,,,CR0 1EA,SE23 3ZH,1,01/01/2020 00:00,,https://croydon.simplyconnect.uk/activities/76a2b5f0-442f-11ea-8b25-975a34126fd1/homelessness-every-night-hot-food-other-support-for-homeless-central-croydon-hn
Homeless Link,Croydon Voluntary Action,cva@cvalive.org.uk,,info@homelesslink.org.uk,Housing ,,,0,414,,,EC3N 1BJ,CR0 2TB,1,12/04/2020 00:00,,https://croydon.simplyconnect.uk/activities/f9fee640-4128-11eb-800b-efc0478b6a59/homeless-link
Home Visiting Service,Home-Start Croydon,contact@croydon-homestart.co.uk,020 8667 0207,contact@croydon-homestart.co.uk,Parenting,"16-21, 21-65",,0,599,,,CR0 1RF,CR0 1RF,1,,,https://croydon.simplyconnect.uk/activities/7660fc60-442f-11ea-9afa-3dac694cb2e9/home-visiting-service
HIV Counselling,Metro,hiv@metrocharity.org.uk,020 8305 5009,counselling@metrocharity.org.uk,Counselling,"16-21, 21-65, 50+, Under 16",,0,158,,,SE11 5JH,SE11 5JH,1,12/02/2020 00:00,,https://croydon.simplyconnect.uk/activities/41d7be20-349f-11eb-b4af-a7e075ee693e/hiv-counselling
Historic Croydon Airport Open Days,Historic Croydon Airport Trust,info@historiccroydonairport.org.uk,2086805878,info@historiccroydonairport.org.uk,Heritage & Museums,"16-21, 21-65, 50+, Under 16",,0,287,,,CR0 0XZ,CR0 0XZ,1,09/04/2022 00:00,2/18/2024 0:00,https://croydon.simplyconnect.uk/activities/45a41200-1ef5-11ed-a201-0fff6a2b4ce7/historic-croydon-airport-open-days
"Helping Thornton Heath, its residents and other stakeholders live and operate more sustainably",Sustainable Thornton Heath,sustainablethorntonheat@gmail.com,,sustainablethorntonheat@gmail.com,Gardening & Environment,"16-21, 21-65, 50+",,0,117,,,CR7 8QQ,CR7 8QQ,1,12/08/2019 00:00,,https://croydon.simplyconnect.uk/activities/f94547f0-576f-11ec-bbf5-ff10adbd2e79/helping-thornton-heath-its-residents-and-other-stakeholders-live-and-operate-more-sustainably
Helping Hand Project,Jigsaw4u,info@jigsaw4u.org.uk,020 8687 1384,,"Other - Advice, Support & Self Help",,,0,40,,,CR4 4HY,CR4 4HY,1,02/01/2023 00:00,,https://croydon.simplyconnect.uk/activities/6605d610-a222-11ed-b6ed-45af8913e8eb/helping-hand-project
Help Is At Hand,Croydon Drop In,enquiries@croydondropin.org.uk,07592 037 042,outreach@croydondropin.org.uk,"Other - Advice, Support & Self Help",,,0,57,,,CR0 1RF,CR0 1RF,1,01/10/2023 00:00,,https://croydon.simplyconnect.uk/activities/32f26d10-90de-11ed-94d5-55e635963d78/help-is-at-hand
Help getting into work Course,School of Hard Knocks,jim@schoolofhardknocks.org.uk,7713509676,jim@schoolofhardknocks.org.uk,"Employment, Skills & Enterprise ",,,0,242,,,SE11 6HU,N1 6AD,1,4/28/2022 0:00,,https://croydon.simplyconnect.uk/activities/bd9bd3f0-c161-11ec-aaa2-5b60b9ab5009/help-getting-into-work-course
Helen O’Grady Drama,St Matthew's Church Croydon,churchadmin@stmatthew.org.uk,,churchadmin@stmatthew.org.uk,Youth Social Groups,,,0,152,,,CR0 5NQ,CR0 5NQ,1,04/01/2021 00:00,,https://croydon.simplyconnect.uk/activities/226b7cb0-a6a7-11ec-80a5-733502757ba1/helen-ogrady-drama
Healthy Families Programme (Face to Face and Online),HENRY,info@henry.org.uk,2081566400,croydon@henry.org.uk,Families,0-5,,0,64,,,Various CR postcodes,OX29 4BD,1,11/22/2022 0:00,,https://croydon.simplyconnect.uk/activities/29b6b2b0-6a67-11ed-9714-0df9616527be/healthy-families-programme-face-to-face-and-online
Healthy Eating & Exercise,Diabetes UK Croydon Group,,,,Exercise & Outdoor Activities,,,0,173,,,CR0 5LP,CR0 5LP,1,,,https://croydon.simplyconnect.uk/activities/74812280-442f-11ea-a33a-1b11927b2119/healthy-eating-exercise
Healthy Child Clinic - New Addington & Fieldway,Family Centre Fieldway,familycentre.fieldway@virgin.net,01689 844277,familycentre.fieldway@virgin.net,Families,,,0,47,,,CR0 9AZ,CR0 9AZ,1,1/22/2023 0:00,,https://croydon.simplyconnect.uk/activities/e860a390-9d97-11ed-8c98-b3dc2705579b/healthy-child-clinic-new-addington-fieldway
Healthwatch Croydon,Croydon South West Local Community Partnership,,0300 012 0235,,Health Improvement & Management,,,0,163,,,CR0 1PB,CR0 2TB,1,04/05/2022 00:00,,https://croydon.simplyconnect.uk/activities/de590190-b4e7-11ec-bb31-ddafb268550a/healthwatch-croydon
Healthier Lifestyles: Strength & Balance,Age UK Croydon,aukc@ageukcroydon.org.uk,020 8686 0066,healthierlifestyles@ageukcroydon.org.uk,"Wellbeing, Wellbeing",50+,,0,327,,,,CR7 7DG,1,03/01/2021 00:00,,https://croydon.simplyconnect.uk/activities/bf772ff0-87ee-11eb-a993-7faf279cdfce/healthier-lifestyles-strength-balance
Healthier Lifestyles: Healthy Joints,Age UK Croydon,aukc@ageukcroydon.org.uk,020 8686 0066,healthierlifestyles@AgeUKCroydon.org.uk,"Wellbeing, Wellbeing",50+,,0,346,,,,CR7 7DG,1,4/20/2021 0:00,,https://croydon.simplyconnect.uk/activities/1a54a8e0-9d1a-11eb-9ec7-a564fad05f0c/healthier-lifestyles-healthy-joints
Healthier Lifestyles: Chair-based Exercise,Age UK Croydon,aukc@ageukcroydon.org.uk,020 8686 0066,healthierlifestyles@ageukcroydon.org.uk,Wellbeing,50+,,0,113,,,CR7 7DG,CR7 7DG,1,08/05/2022 00:00,,https://croydon.simplyconnect.uk/activities/a69f7830-14e1-11ed-bb64-776056da0baf/healthier-lifestyles-chair-based-exercise
Healing and Deliverance,"Elim Pentecostal Church, Croydon",info@elimpentecostal.org.uk,208 665 5370,office@elimpentecostal.org.uk,Faith Groups,"16-21, 21-65, 50+",,0,899,,,CR0 3QA,CR0 3QA,1,,,https://croydon.simplyconnect.uk/activities/723e23a0-442f-11ea-a5bb-dd0a6f5093b4/healing-and-deliverance
Hall hire,BMCA Queens Community Centre,queens.hall2019@outlook.com,7398125914,queens.hall2019@outlook.com,Community Centres,,,0,308,,,CR0 2NP,CR0 2NP,1,12/22/2020 0:00,,https://croydon.simplyconnect.uk/activities/fb50c9c0-445f-11eb-849c-db27ec439430/hall-hire
Guiding Hand's Let's Talk With... Mary,Guiding Hands Organisation CIC,info@guidinghands.org.uk,7733424804,info@guidinghands.org.uk,Other - Social Groups & Activities,"16-21, 21-65",,0,127,,,CR0 6YA,CR0 6YA,1,9/26/2022 0:00,10/17/2023 0:00,https://croydon.simplyconnect.uk/activities/c74e5000-5f68-11eb-a47a-c3cdbb325c60/guiding-hands-lets-talk-with-mary
Guides,Girlguiding Croydon,cc@girlguidingcroydon.org.uk,,growguidingcroydon@gmail.com,Hobbies & Interests,Under 16,,0,120,,,SW1W 0PT,SW1W 0PT,1,,,https://croydon.simplyconnect.uk/activities/4aa79370-4df4-11ea-b273-57ae5bc6260f/guides
Grief Chat,Independent Age,volunteer.recruitment@independentage.org,020 7605 4200,charity@independentage.org,Bereavement,,,0,146,,,W14 8RR,W14 8RL,1,4/14/2020 0:00,,https://croydon.simplyconnect.uk/activities/a79747e0-348e-11eb-b3a2-7160f157fe64/grief-chat
Green Care: Gardening for Wellbeing (Dementia Friendly session),MHA Communities South London,katharine.stubbs@mha.org.uk,07597 135 220,southlondon@mha.org.uk,Gardening & Environment,50+,,0,155,,,CR9 5AL,CR9 5AL,1,05/11/2022 00:00,,https://croydon.simplyconnect.uk/activities/29118a40-d064-11ec-878d-797135f182e5/green-care-gardening-for-wellbeing-dementia-friendly-session
